#Econòmic,Orgànic,Subprograma,Text Subprograma,CRÉDIT INICIAL,CRÈDIT DEFINITIU,OBLIGAT,ANY
22708,703,1111,Servei del deute,0,2742000,2732079.19,2013
31002,703,1111,Servei del deute,0,2784714.46,2761951.12,2013
31003,703,1111,Servei del deute,0,998506.67,199064.99,2013
31004,703,1111,Servei del deute,0,428000,419266.67,2013
31009,703,1111,Servei del deute,0,3295900,3022694.74,2013
31014,703,1111,Servei del deute,0,2063600,2054306.66,2013
31015,703,1111,Servei del deute,0,1019444.45,807779.16,2013
31016,703,1111,Servei del deute,0,2604090,2193650,2013
31017,703,1111,Servei del deute,0,1481666.66,751295.06,2013
31018,703,1111,Servei del deute,0,5095222.22,4479306.66,2013
31019,703,1111,Servei del deute,0,1849583.32,888483.34,2013
31020,703,1111,Servei del deute,0,1376250,495793.7,2013
31021,703,1111,Servei del deute,0,671075,624675,2013
31022,703,1111,Servei del deute,0,661110,590303.73,2013
31023,703,1111,Servei del deute,0,597463.33,540405.83,2013
31024,703,1111,Servei del deute,0,670125,543000,2013
31025,703,1111,Servei del deute,0,949062.5,813487.5,2013
31026,703,1111,Servei del deute,0,420000,373691.11,2013
31027,703,1111,Servei del deute,0,875000,816088.89,2013
31028,703,1111,Servei del deute,0,1510000,1504500,2013
31030,703,1111,Servei del deute,0,308200,308200,2013
31054,703,1111,Servei del deute,0,1171041.67,1171041.67,2013
31055,703,1111,Servei del deute,0,4180755.55,4173866.66,2013
31056,703,1111,Servei del deute,0,3293275,3149671.23,2013
31081,703,1111,Servei del deute,0,520833.33,0,2013
31083,703,1111,Servei del deute,0,520833.33,0,2013
31084,703,1111,Servei del deute,0,208333.33,0,2013
31085,703,1111,Servei del deute,0,520833.33,0,2013
31086,703,1111,Servei del deute,0,208333.33,0,2013
31088,703,1111,Servei del deute,0,62500,0,2013
31089,703,1111,Servei del deute,0,58333.33,0,2013
31099,703,1111,Servei del deute,0,4184075.28,0,2013
31102,703,1111,Servei del deute,0,1803.03,1803.03,2013
31129,703,1111,Servei del deute,0,40000,40000,2013
31130,703,1111,Servei del deute,0,150000,150000,2013
31154,703,1111,Servei del deute,0,600,595,2013
31155,703,1111,Servei del deute,0,800,773.5,2013
31181,703,1111,Servei del deute,0,210000,208500,2013
31182,703,1111,Servei del deute,0,40000,38444.44,2013
31184,703,1111,Servei del deute,0,65000,18541.67,2013
31185,703,1111,Servei del deute,0,34000,34000,2013
31186,703,1111,Servei del deute,0,74000,0,2013
31188,703,1111,Servei del deute,0,9000,0,2013
31189,703,1111,Servei del deute,0,16000,0,2013
31199,703,1111,Servei del deute,0,200000,0,2013
35200,703,1111,Servei del deute,0,250000,57531.07,2013
35900,703,1111,Servei del deute,0,180000,102384.7,2013
35901,703,1111,Servei del deute,0,100000,13444.64,2013
91309,703,1111,Servei del deute,0,5000000,5000000,2013
91317,703,1111,Servei del deute,0,9375000,9375000,2013
91318,703,1111,Servei del deute,0,24000000,24000000,2013
91319,703,1111,Servei del deute,0,60000000,60000000,2013
91320,703,1111,Servei del deute,0,3750000,3750000,2013
91322,703,1111,Servei del deute,0,600000,600000,2013
91326,703,1111,Servei del deute,0,1000000,1000000,2013
10100,401,13011,Gestió programa administració seguretat,0,274649.2,274649.2,2013
12000,401,13011,Gestió programa administració seguretat,0,102550.97,102550.97,2013
12001,401,13011,Gestió programa administració seguretat,0,12906.52,12906.52,2013
12003,401,13011,Gestió programa administració seguretat,0,77487.46,77487.46,2013
12004,401,13011,Gestió programa administració seguretat,0,28349.47,28349.47,2013
12006,401,13011,Gestió programa administració seguretat,0,69810.52,69810.52,2013
12099,401,13011,Gestió programa administració seguretat,0,0,-107.02,2013
12100,401,13011,Gestió programa administració seguretat,0,139996.49,139996.49,2013
12101,401,13011,Gestió programa administració seguretat,0,430270.36,430270.36,2013
12404,401,13011,Gestió programa administració seguretat,0,323.57,323.57,2013
13000,401,13011,Gestió programa administració seguretat,0,382.45,382.45,2013
13002,401,13011,Gestió programa administració seguretat,0,756.23,756.23,2013
15000,401,13011,Gestió programa administració seguretat,0,109792.5,109792.5,2013
15100,401,13011,Gestió programa administració seguretat,0,31492.55,31492.55,2013
16001,401,13011,Gestió programa administració seguretat,0,189850.5,189850.5,2013
16002,401,13011,Gestió programa administració seguretat,0,55777.7,55777.7,2013
16005,401,13011,Gestió programa administració seguretat,0,13892.26,13892.26,2013
16008,401,13011,Gestió programa administració seguretat,0,16641.18,16641.18,2013
16204,401,13011,Gestió programa administració seguretat,0,87.76,87.76,2013
16400,401,13011,Gestió programa administració seguretat,0,3777.78,3777.78,2013
20200,401,13011,Gestió programa administració seguretat,0,17410.54,12661.68,2013
20500,401,13011,Gestió programa administració seguretat,0,32944.35,32669.07,2013
21300,401,13011,Gestió programa administració seguretat,0,42132.7,41144.55,2013
22000,401,13011,Gestió programa administració seguretat,0,55196.55,55125.31,2013
22001,401,13011,Gestió programa administració seguretat,0,7034.41,5767.21,2013
22002,401,13011,Gestió programa administració seguretat,0,58063.99,57791.81,2013
22105,401,13011,Gestió programa administració seguretat,0,5441.19,4626.53,2013
22109,401,13011,Gestió programa administració seguretat,0,4019.54,1631.99,2013
22201,401,13011,Gestió programa administració seguretat,0,10200,9683.33,2013
22205,401,13011,Gestió programa administració seguretat,0,10000,9444.02,2013
