#Econòmic,Orgànic,Subprograma,Text Subprograma,CRÉDIT INICIAL,CRÈDIT DEFINITIU,OBLIGAT,ANY
22708,703,1111,Servei del deute,0,2310000,1984616.06,2014
31002,703,1111,Servei del deute,792167.34,792167.34,374445.48,2014
31003,703,1111,Servei del deute,406366.67,748814.16,748814.16,2014
31004,703,1111,Servei del deute,419000,419000,419000,2014
31009,703,1111,Servei del deute,3016599.31,3016599.31,2999220.49,2014
31014,703,1111,Servei del deute,2060222.22,2060222.22,2056195.54,2014
31015,703,1111,Servei del deute,912458.33,912458.33,909790.29,2014
31016,703,1111,Servei del deute,1358817.5,1358817.5,1358817.5,2014
31017,703,1111,Servei del deute,988333.33,988333.33,683376.82,2014
31018,703,1111,Servei del deute,4728333.33,4728333.33,4211967.55,2014
31020,703,1111,Servei del deute,566718.75,566718.75,444603.75,2014
31021,703,1111,Servei del deute,614751.56,614751.56,568239.84,2014
31022,703,1111,Servei del deute,638025,638025,573107.6,2014
31023,703,1111,Servei del deute,646354.17,646354.17,537254.59,2014
31024,703,1111,Servei del deute,600000,600000,547075,2014
31025,703,1111,Servei del deute,950520.83,950520.83,817100.69,2014
31026,703,1111,Servei del deute,374704.17,374704.17,321904.86,2014
31027,703,1111,Servei del deute,963194.44,963194.44,818266.66,2014
31028,703,1111,Servei del deute,1504500,1504500,1504500,2014
31029,703,1111,Servei del deute,430902.78,430902.78,366845.28,2014
31030,703,1111,Servei del deute,1383958.33,1383958.33,1234823.34,2014
31054,703,1111,Servei del deute,580708.33,580708.34,580708.34,2014
31055,703,1111,Servei del deute,4315111.11,4315111.11,4303288.89,2014
31056,703,1111,Servei del deute,3150000,3210000,3150164.38,2014
31090,703,1111,Servei del deute,525000,524999.99,0,2014
31099,703,1111,Servei del deute,7800000,5097552.51,0,2014
31102,703,1111,Servei del deute,1803.03,1803.03,1803.03,2014
31155,703,1111,Servei del deute,800,800,773.5,2014
31190,703,1111,Servei del deute,350000,350000,0,2014
31199,703,1111,Servei del deute,975000,975000,0,2014
35200,703,1111,Servei del deute,250000,250000,18564.96,2014
35900,703,1111,Servei del deute,180000,180000,146543.5,2014
35901,703,1111,Servei del deute,100000,100000,2101.52,2014
84010,703,1111,Servei del deute,5000000,5000000,5000000,2014
91302,703,1111,Servei del deute,20033736.81,20033736.81,20033736.81,2014
91309,703,1111,Servei del deute,9000000,9000000,9000000,2014
91317,703,1111,Servei del deute,9375000,9375000,9375000,2014
91318,703,1111,Servei del deute,24000000,24000000,24000000,2014
91320,703,1111,Servei del deute,3750000,3750000,3750000,2014
91321,703,1111,Servei del deute,937500,937500,937500,2014
91322,703,1111,Servei del deute,600000,600000,600000,2014
91326,703,1111,Servei del deute,2000000,2000000,2000000,2014
91354,703,1111,Servei del deute,60000000,60000000,60000000,2014
10100,401,13011,Gestió programa administració seguretat,274801.04,271833.53,271833.53,2014
12000,401,13011,Gestió programa administració seguretat,102741.24,93306.01,93306.01,2014
12001,401,13011,Gestió programa administració seguretat,12906.52,13025.62,13025.62,2014
12003,401,13011,Gestió programa administració seguretat,69193.88,66631.83,66631.83,2014
12004,401,13011,Gestió programa administració seguretat,9464.08,25316.93,25316.93,2014
12006,401,13011,Gestió programa administració seguretat,63972.68,62306.33,62306.33,2014
12099,401,13011,Gestió programa administració seguretat,0,0,-9829.4,2014
12100,401,13011,Gestió programa administració seguretat,124123.99,129315.47,129315.47,2014
12101,401,13011,Gestió programa administració seguretat,307204.07,396309.25,396309.25,2014
12900,401,13011,Gestió programa administració seguretat,0,1.51,0,2014
