#Econòmic,Orgànic,Subprograma,Text subprograma,PREV. INICIAL,PREV.DEFINITIVA,LIQUIDAT,Any
10000,703,93219,Serveis d’ingressos,51244290,51244290,0,2016
11301,703,93219,Serveis d’ingressos,615314010,615314010,0,2016
11401,703,93219,Serveis d’ingressos,8097000,8097000,0,2016
11500,703,93219,Serveis d’ingressos,58620000,58620000,0,2016
11600,703,93219,Serveis d’ingressos,120814000,120814000,0,2016
13000,703,93219,Serveis d’ingressos,80629000,80629000,0,2016
13001,703,93219,Serveis d’ingressos,10,10,0,2016
13004,703,93219,Serveis d’ingressos,9049000,9049000,0,2016
18000,703,93219,Serveis d’ingressos,10,10,0,2016
21000,703,93219,Serveis d’ingressos,30529420,30529420,0,2016
22000,703,93219,Serveis d’ingressos,385330,385330,0,2016
22001,703,93219,Serveis d’ingressos,132690,132690,0,2016
22003,703,93219,Serveis d’ingressos,3257390,3257390,0,2016
22004,703,93219,Serveis d’ingressos,4669180,4669180,0,2016
22006,703,93219,Serveis d’ingressos,8780,8780,0,2016
29000,501,93219,Serveis d’ingressos,6751812.08,6751812.08,0,2016
29000,502,93219,Serveis d’ingressos,5626.51,5626.51,0,2016
29000,601,93219,Serveis d’ingressos,675181.21,675181.21,0,2016
29000,602,93219,Serveis d’ingressos,2813255.03,2813255.03,0,2016
29000,603,93219,Serveis d’ingressos,1350362.41,1350362.41,0,2016
29000,604,93219,Serveis d’ingressos,450120.81,450120.81,0,2016
29000,605,93219,Serveis d’ingressos,1350362.41,1350362.41,0,2016
29000,606,93219,Serveis d’ingressos,675181.21,675181.21,0,2016
29000,607,93219,Serveis d’ingressos,450120.81,450120.81,0,2016
29000,608,93219,Serveis d’ingressos,331964.1,331964.1,0,2016
29000,609,93219,Serveis d’ingressos,562651.01,562651.01,0,2016
29000,610,93219,Serveis d’ingressos,1350362.41,1350362.41,0,2016
30100,502,16011,Sanejament xarxa de clavegueram,15500000,15500000,0,2016
30901,502,93219,Serveis d’ingressos,35000,35000,0,2016
30902,401,93219,Serveis d’ingressos,211000,211000,0,2016
30903,703,93219,Serveis d’ingressos,12029885,12029885,0,2016
30904,401,93219,Serveis d’ingressos,570000,570000,0,2016
32100,501,93219,Serveis d’ingressos,3722756.51,3722756.51,0,2016
32100,502,93219,Serveis d’ingressos,64318.53,64318.53,0,2016
32100,601,93219,Serveis d’ingressos,23154.67,23154.67,0,2016
32100,602,93219,Serveis d’ingressos,57886.68,57886.68,0,2016
32100,603,93219,Serveis d’ingressos,54027.56,54027.56,0,2016
32100,604,93219,Serveis d’ingressos,20581.93,20581.93,0,2016
32100,605,93219,Serveis d’ingressos,12863.7,12863.7,0,2016
32100,606,93219,Serveis d’ingressos,21868.3,21868.3,0,2016
32100,607,93219,Serveis d’ingressos,28300.16,28300.16,0,2016
32100,608,93219,Serveis d’ingressos,20581.93,20581.93,0,2016
32100,609,93219,Serveis d’ingressos,45022.97,45022.97,0,2016
32100,610,93219,Serveis d’ingressos,128637.06,128637.06,0,2016
32101,601,93219,Serveis d’ingressos,161965.32,161965.32,0,2016
32101,602,93219,Serveis d’ingressos,593872.83,593872.83,0,2016
32101,603,93219,Serveis d’ingressos,194358.38,194358.38,0,2016
32101,604,93219,Serveis d’ingressos,107976.88,107976.88,0,2016
32101,605,93219,Serveis d’ingressos,188959.54,188959.54,0,2016
32101,606,93219,Serveis d’ingressos,161965.32,161965.32,0,2016
32101,607,93219,Serveis d’ingressos,86381.5,86381.5,0,2016
32101,608,93219,Serveis d’ingressos,64786.13,64786.13,0,2016
32101,609,93219,Serveis d’ingressos,102578.03,102578.03,0,2016
32101,610,93219,Serveis d’ingressos,205156.07,205156.07,0,2016
32300,601,93219,Serveis d’ingressos,10,10,0,2016
32300,602,93219,Serveis d’ingressos,10,10,0,2016
32300,603,93219,Serveis d’ingressos,10,10,0,2016
32300,604,93219,Serveis d’ingressos,10,10,0,2016
32300,605,93219,Serveis d’ingressos,10,10,0,2016
32300,606,93219,Serveis d’ingressos,10,10,0,2016
32300,607,93219,Serveis d’ingressos,10,10,0,2016
32300,608,93219,Serveis d’ingressos,10,10,0,2016
32300,609,93219,Serveis d’ingressos,10,10,0,2016
32300,610,93219,Serveis d’ingressos,10,10,0,2016
32301,501,93219,Serveis d’ingressos,2970,2970,0,2016
32301,601,93219,Serveis d’ingressos,26450,26450,0,2016
32301,602,93219,Serveis d’ingressos,3450,3450,0,2016
32301,603,93219,Serveis d’ingressos,18400,18400,0,2016
32301,604,93219,Serveis d’ingressos,1150,1150,0,2016
32301,605,93219,Serveis d’ingressos,10,10,0,2016
32301,606,93219,Serveis d’ingressos,3450,3450,0,2016
