#Área,,Política,,Grupo,,Programa,,Descripción
#
# Áreas de gasto y Políticas, definidas en la Orden HAP/419/2014 y comunes a todas las EELL.
# Ver http://www.boe.es/diario_boe/txt.php?id=BOE-A-2014-2922
0,,,,,Deuda pública
0,1,,,,Deuda pública
1,,,,,Servicios públicos básicos
1,3,,,,Seguridad y movilidad ciudadana
1,5,,,,Vivienda y urbanismo
1,6,,,,Bienestar comunitario ("servicios urbanos")
1,7,,,,Medio ambiente
1,9,,,,Ajuste prórroga AD1
2,,,,,Actuaciones de protección y promoción social
2,1,,,,Pensiones
2,2,,,,Otras prestaciones económicas a favor de empleados
2,3,,,,Servicios sociales y promoción social
2,4,,,,Fomento del empleo
2,9,,,,Ajuste prórroga AD2
3,,,,,Produccion de bienes públicos de carácter preferente
3,1,,,,Salud
3,2,,,,Educación
3,3,,,,Cultura
3,4,,,,Deporte
3,9,,,,Ajuste prórroga AD3
4,,,,,Actuaciones de carácter económico
4,1,,,,Agricultura ganadería y pesca
4,2,,,,Industria y energía
4,3,,,,"Comercio, turismo y pequeñas y medianas empresas (""promoción económica y empleo"")"
4,4,,,,Transporte público
4,5,,,,Infraestructuras
4,6,,,,"Investigación, desarrollo e innovación"
4,9,,,,Otras actuaciones de carácter económico
9,,,,,Actuaciones de carácter general
9,1,,,,Órganos de gobierno
9,2,,,,Servicios de carácter general
9,3,,,,Administración financiera y tributaria
9,4,,,,Transferencias a otras administraciónes
9,9,,,,Ajuste prórroga AD9
#
# Programas específicos de Barcelona
0,1,1,1,,Servicio de la deuda
1,3,0,1,,Administración general de seguridad y movilidad
1,3,2,1,,Seguridad ciudadana
1,3,2,2,,Prevención de la delincuencia
1,3,3,1,,Control y regulación estacionamiento de vía pública
1,3,4,1,,Movilidad
1,3,5,1,,Protección civil
1,3,6,1,,Prevención y extinción de incendios y salvamento
1,5,0,1,,Administración de hábitat urbano
1,5,1,1,,Actuación urbanística y disciplina
1,5,1,2,,Gestión del suelo
1,5,1,3,,Redacción de proyectos-ejecución de obras
1,5,1,4,,Proyectos y estrategia
1,5,1,5,,Planeamiento de la ciudad
1,5,1,6,,Control y seguimiento de grandes infraestructuras
1,5,2,1,,Promoción y gestión de vivienda de protección pública
1,5,2,2,,Conservación y rehabilitación de la edificación
1,5,3,2,,Pavimentación de vías públicas
1,5,3,3,,Mantenimiento y renovación de las estructuras viales
1,5,3,4,,Espacio público
1,5,3,5,,Ley de Barrios
1,6,0,1,,Saneamiento red de alcantarillado
1,6,1,1,,Abastecimiento de aguas
1,6,2,1,,Recogida de residuos
1,6,2,2,,Gestión de residuos sólidos urbanos
1,6,2,3,,Tratamiento de residuos
1,6,3,1,,Limpieza viaria
1,6,4,1,,Cementerios
1,6,5,1,,Gestión del alumbrado público
1,6,9,1,,Protección y control de animales
1,7,1,1,,Espacios verdes y biodiversidad
1,7,2,1,,Protec.contaminación acústica-lumínica-atmosférica
1,7,2,2,,Educación medioambiental
1,7,9,4,,Gestión y promoción de los recursos energéticos
1,9,9,9,,Ajuste prórroga AD1
2,1,1,1,,Pensiones
2,3,0,1,,Administración general de servicios sociales
2,3,0,2,,Administración general servicios a las personas
2,3,0,3,,Estrategia e innovación de servicios sociales
2,3,1,1,,Atención infancia y adolescencia
2,3,1,2,,Atención y apoyo a los individuos y a las familias
2,3,1,3,,Atención a la gente mayor
2,3,1,4,,Atención personas en situación pobreza-riesgo exclusión
2,3,1,5,,Servicios sociales básicos
2,3,1,6,,Atención la inmigración
2,3,1,7,,Atención a la mujer en situación de vulnerabilidad
2,3,1,8,,Atención a grupos y comunidades
2,3,1,9,,Emergencias y urgencias sociales
2,3,2,1,,Promoción y participación de infancia y adolescencia
2,3,2,2,,Promoción y atención a la juventud
2,3,2,3,,Promoción de la gente mayor
2,3,2,4,,Promoción de las mujeres
2,3,2,5,,Derechos humanos-no discrimi.:fomento-promoción-atención
2,3,2,6,,Promoción social de la inmigración
2,3,2,7,,Tiempo y calidad de vida
2,3,2,8,,Servicios y proyectos comunitarios
2,3,2,9,,Cooperación y ayuda
2,3,4,1,,Atención a las personas discapacitadas
2,3,9,1,,Fondo de contingencia social
2,4,1,1,,Fomento del empleo
2,9,9,9,,Ajuste prórroga AD2
3,1,1,1,,Promoción y protección de la salud
3,1,2,1,,Asistencia sanitaria
3,2,0,1,,Administración general de educación
3,2,0,2,,Apoyo obligatorio en los centros educativos
3,2,3,2,,Funcionamiento centros educación infantil y primaria
3,2,3,3,,Funcionamiento de centros de educación especial
3,2,4,1,,Funcion.centras educación secundaria-FP
3,2,5,3,,Otras enseñanzas
3,2,6,1,,Servicios complementarios de educación
3,2,6,2,,Promoción educativa
3,2,8,1,,Enseñanzas musicales
3,2,8,2,,Enseñanzas artísticas
3,2,8,3,,Formación de adultos
3,2,9,1,,Funcionamiento de las guarderías municipales
3,3,0,1,,Administración general de cultura
3,3,2,1,,Bibliotecas
3,3,3,1,,Museos y artes plásticas
3,3,3,2,,Artes escénicas y música
3,3,4,1,,Promoción cultural
3,3,6,1,,Patrimonio histórico y artístico de la ciudad
3,3,7,1,,Centros cívicos
3,3,8,1,,Fiestas y actos populares
3,4,1,1,,Gestión y promoción del deporte
3,4,2,1,,Instalaciones deportivas
3,4,3,1,,Acontecimientos deportivos
3,9,9,9,,Ajuste prórroga AD3
4,3,0,1,,Administración general de acción económica
4,3,1,2,,"Mercados, abastecimientos y lonjas"
4,3,1,4,,Promoción del comercio
4,3,2,1,,Fomento y promoción del turismo
4,3,3,1,,"Apoyo a la empresa, la emprendeduría y la ocupación"
4,3,3,2,,Promoción económica de la ciudad
4,3,3,3,,Fomento crecimiento económico y sectores estratégicos
4,3,3,4,,Dinamización económica de proximidad
