#Econòmic,Orgànic,Subprograma,Text Subprograma,CRÉDIT INICIAL,CRÈDIT DEFINITIU,OBLIGAT,ANY
22708,703,1111,Servei del deute,1960000,,,2016
31002,703,1111,Servei del deute,426551.65,,,2016
31003,703,1111,Servei del deute,761329.17,,,2016
31004,703,1111,Servei del deute,419000,,,2016
31009,703,1111,Servei del deute,2815716.67,,,2016
31014,703,1111,Servei del deute,2077155.56,,,2016
31015,703,1111,Servei del deute,1011458.35,,,2016
31016,703,1111,Servei del deute,1384110,,,2016
31017,703,1111,Servei del deute,836250,,,2016
31018,703,1111,Servei del deute,4325500,,,2016
31020,703,1111,Servei del deute,481171.88,,,2016
31021,703,1111,Servei del deute,599098.96,,,2016
31022,703,1111,Servei del deute,643425,,,2016
31023,703,1111,Servei del deute,629416.67,,,2016
31024,703,1111,Servei del deute,483333.33,,,2016
31025,703,1111,Servei del deute,950520.83,,,2016
31026,703,1111,Servei del deute,279909.72,,,2016
31027,703,1111,Servei del deute,942916.67,,,2016
31028,703,1111,Servei del deute,1504500,,,2016
31029,703,1111,Servei del deute,399898.61,,,2016
31030,703,1111,Servei del deute,1383958.33,,,2016
31055,703,1111,Servei del deute,2175288.89,,,2016
31056,703,1111,Servei del deute,3150164.38,,,2016
31090,703,1111,Servei del deute,425000,,,2016
31099,703,1111,Servei del deute,5320274.5,,,2016
31102,703,1111,Servei del deute,1803.03,,,2016
31190,703,1111,Servei del deute,350000,,,2016
31199,703,1111,Servei del deute,400000,,,2016
35200,703,1111,Servei del deute,250000,,,2016
35900,703,1111,Servei del deute,180000,,,2016
35901,703,1111,Servei del deute,100000,,,2016
84010,703,1111,Servei del deute,5000000,,,2016
91302,703,1111,Servei del deute,20033736.81,,,2016
91309,703,1111,Servei del deute,9000000,,,2016
91317,703,1111,Servei del deute,9375000,,,2016
91318,703,1111,Servei del deute,24000000,,,2016
91320,703,1111,Servei del deute,3750000,,,2016
91321,703,1111,Servei del deute,1875000,,,2016
91322,703,1111,Servei del deute,600000,,,2016
91324,703,1111,Servei del deute,5000000,,,2016
91326,703,1111,Servei del deute,2000000,,,2016
91329,703,1111,Servei del deute,2000000,,,2016
91355,703,1111,Servei del deute,78525000.01,,,2016
10100,401,13011,Gestió programa administració seguretat,221081.35,,,2016
12000,401,13011,Gestió programa administració seguretat,86145.69,,,2016
12001,401,13011,Gestió programa administració seguretat,12906.52,,,2016
12003,401,13011,Gestió programa administració seguretat,69193.88,,,2016
12004,401,13011,Gestió programa administració seguretat,21495.28,,,2016
12006,401,13011,Gestió programa administració seguretat,60078.19,,,2016
12100,401,13011,Gestió programa administració seguretat,123132.74,,,2016
12101,401,13011,Gestió programa administració seguretat,304865.61,,,2016
15000,401,13011,Gestió programa administració seguretat,65723.79,,,2016
16001,401,13011,Gestió programa administració seguretat,155233.49,,,2016
16002,401,13011,Gestió programa administració seguretat,46021.53,,,2016
16005,401,13011,Gestió programa administració seguretat,13251.36,,,2016
16008,401,13011,Gestió programa administració seguretat,12943.79,,,2016
16400,401,13011,Gestió programa administració seguretat,6812.76,,,2016
