#Econòmic,Orgànic,Subprograma,Text Subprograma,CRÉDIT INICIAL,CRÈDIT DEFINITIU,OBLIGAT,ANY
22708,703,1111,Servei del deute,1960000,1960000,1593961.67,2015
31002,703,1111,Servei del deute,426551.65,195274.07,195274.07,2015
31003,703,1111,Servei del deute,761329.17,750900,750900,2015
31004,703,1111,Servei del deute,419000,247600,247600,2015
31009,703,1111,Servei del deute,2815716.67,2815716.67,2797294.99,2015
31014,703,1111,Servei del deute,2077155.56,2060222.23,2060222.23,2015
31015,703,1111,Servei del deute,1011458.35,1011458.35,1011352.77,2015
31016,703,1111,Servei del deute,1384110,1384110,1384110,2015
31017,703,1111,Servei del deute,836250,464723.44,464723.44,2015
31018,703,1111,Servei del deute,4325500,4325500,3765509.46,2015
31020,703,1111,Servei del deute,481171.88,327465.57,327465.57,2015
31021,703,1111,Servei del deute,599098.96,267574.22,267574.22,2015
31022,703,1111,Servei del deute,643425,264575.9,264575.9,2015
31023,703,1111,Servei del deute,629416.67,248695,248695,2015
31024,703,1111,Servei del deute,483333.33,211758.61,211758.61,2015
31025,703,1111,Servei del deute,950520.83,383347.92,383347.92,2015
31026,703,1111,Servei del deute,279909.72,124271.58,124271.58,2015
31027,703,1111,Servei del deute,942916.67,385127.78,385127.78,2015
31028,703,1111,Servei del deute,1504500,1504500,1504500,2015
31029,703,1111,Servei del deute,399898.61,335996.63,335996.63,2015
31030,703,1111,Servei del deute,1383958.33,587795,587795,2015
31055,703,1111,Servei del deute,2175288.89,2175288.89,2175288.89,2015
31056,703,1111,Servei del deute,3150164.38,3210000,3150164.38,2015
31090,703,1111,Servei del deute,425000,0,0,2015
31099,703,1111,Servei del deute,5320274.5,394047.31,0,2015
31102,703,1111,Servei del deute,1803.03,1803.03,1803.03,2015
31190,703,1111,Servei del deute,350000,0,0,2015
31199,703,1111,Servei del deute,400000,0,0,2015
35200,703,1111,Servei del deute,250000,940424.53,569226.06,2015
35900,703,1111,Servei del deute,180000,180000,146868.18,2015
35901,703,1111,Servei del deute,100000,100000,2101.52,2015
84010,703,1111,Servei del deute,5000000,5000000,0,2015
91302,703,1111,Servei del deute,20033736.81,20033736.81,20033736.81,2015
91309,703,1111,Servei del deute,9000000,9000000,9000000,2015
91317,703,1111,Servei del deute,9375000,9375000,9375000,2015
91318,703,1111,Servei del deute,24000000,24000000,24000000,2015
91320,703,1111,Servei del deute,3750000,3750000,3750000,2015
91321,703,1111,Servei del deute,1875000,1875000,1875000,2015
91322,703,1111,Servei del deute,600000,600000,600000,2015
91324,703,1111,Servei del deute,5000000,5000000,5000000,2015
91326,703,1111,Servei del deute,2000000,2000000,2000000,2015
91329,703,1111,Servei del deute,2000000,2000000,2000000,2015
91355,703,1111,Servei del deute,80000000,80000000,80000000,2015
10100,401,13011,Gestió programa administració seguretat,221081.35,300392.33,303940.93,2015
10112,401,13011,Gestió programa administració seguretat,0,0,1852.64,2015
12000,401,13011,Gestió programa administració seguretat,86145.69,130177.65,118845.59,2015
12001,401,13011,Gestió programa administració seguretat,12906.52,12906.52,25367.13,2015
12003,401,13011,Gestió programa administració seguretat,69193.88,98848.4,118572.14,2015
12004,401,13011,Gestió programa administració seguretat,21495.28,29873.86,137993.71,2015
12006,401,13011,Gestió programa administració seguretat,60078.19,86641.41,112610.19,2015
12100,401,13011,Gestió programa administració seguretat,123132.74,171565.88,240376.42,2015
12101,401,13011,Gestió programa administració seguretat,304865.61,411696.53,653262.41,2015
12112,401,13011,Gestió programa administració seguretat,0,0,4459.11,2015
12401,401,13011,Gestió programa administració seguretat,0,0,11504.9,2015
12406,401,13011,Gestió programa administració seguretat,0,0,1479.87,2015
13000,401,13011,Gestió programa administració seguretat,0,0,10415.36,2015
13002,401,13011,Gestió programa administració seguretat,0,0,13705.2,2015
13100,401,13011,Gestió programa administració seguretat,0,20637.92,17656.86,2015
15000,401,13011,Gestió programa administració seguretat,65723.79,85343.12,148115.4,2015
15100,401,13011,Gestió programa administració seguretat,0,6000,7976.2,2015
16000,401,13011,Gestió programa administració seguretat,0,6917.88,14966.58,2015
16001,401,13011,Gestió programa administració seguretat,155233.49,236030.31,334642.19,2015
16002,401,13011,Gestió programa administració seguretat,46021.53,46703.27,116165.42,2015
16005,401,13011,Gestió programa administració seguretat,13251.36,24921.72,30189.7,2015
16008,401,13011,Gestió programa administració seguretat,12943.79,20280.35,29218.15,2015
16204,401,13011,Gestió programa administració seguretat,0,0,2797.5,2015
16400,401,13011,Gestió programa administració seguretat,6812.76,6812.76,6245.03,2015
20200,401,13011,Gestió programa administració seguretat,5040,5040,3052.28,2015
20500,401,13011,Gestió programa administració seguretat,126877.33,15000,8909.46,2015
21300,401,13011,Gestió programa administració seguretat,0,74968.23,39069.88,2015
21500,401,13011,Gestió programa administració seguretat,25200,25200,24923.26,2015
22000,401,13011,Gestió programa administració seguretat,81648,54982.37,46899.18,2015
22001,401,13011,Gestió programa administració seguretat,7144.67,7144.67,5377.4,2015
22002,401,13011,Gestió programa administració seguretat,19317.3,65010.44,60660.09,2015
22105,401,13011,Gestió programa administració seguretat,4093.22,4093.22,2217.54,2015
22109,401,13011,Gestió programa administració seguretat,2923.2,5023.2,1378.7,2015
22201,401,13011,Gestió programa administració seguretat,12297.6,12297.6,7759.64,2015
22205,401,13011,Gestió programa administració seguretat,10080,10080,5424.48,2015
22501,401,13011,Gestió programa administració seguretat,469.43,469.43,0,2015
22601,401,13011,Gestió programa administració seguretat,9072,9072,2692.66,2015
22610,401,13011,Gestió programa administració seguretat,197012.09,93523.62,53982.49,2015
22611,401,13011,Gestió programa administració seguretat,1008,1008,121,2015
22699,401,13011,Gestió programa administració seguretat,0,500,115,2015
22703,401,13011,Gestió programa administració seguretat,0,6967.33,3315.39,2015
22706,401,13011,Gestió programa administració seguretat,10608.91,2733.09,0,2015
22719,401,13011,Gestió programa administració seguretat,59283.47,59283.47,45727.98,2015
23020,401,13011,Gestió programa administració seguretat,14112,25206.18,15969.33,2015
23120,401,13011,Gestió programa administració seguretat,30437.29,48951.41,43026.01,2015
48100,401,13011,Gestió programa administració seguretat,44185.18,34032.75,29693.05,2015
62647,401,13011,Gestió programa administració seguretat,199079.54,1096726.76,220705.93,2015
63501,401,13011,Gestió programa administració seguretat,0,143000,18107.93,2015
12000,401,13012,Desenvolupament professional prevenció i seguretat,32148.39,46825.71,51001.21,2015
12001,401,13012,Desenvolupament professional prevenció i seguretat,0,12906.52,19154.43,2015
12003,401,13012,Desenvolupament professional prevenció i seguretat,185835.04,57332.12,41138.72,2015
12004,401,13012,Desenvolupament professional prevenció i seguretat,91047.52,222659.79,214172.4,2015
12006,401,13012,Desenvolupament professional prevenció i seguretat,76778.57,99336.66,96297.07,2015
