Econòmic,Orgànic,Subprograma,Text subprograma,PREV. INICIAL,PREV.DEFINITIVA,LIQUIDAT,Any
10000,703,93219,Serveis d’ingressos,51774488,51774488,49790288.8,2013
11301,703,93219,Serveis d’ingressos,533522212,533522212,589435593.7,2013
11401,703,93219,Serveis d’ingressos,6046350,6046350,11030714.13,2013
11500,703,93219,Serveis d’ingressos,60741808,60741808,63725345.47,2013
11600,703,93219,Serveis d’ingressos,81159488,81159488,114404032.76,2013
13000,703,93219,Serveis d’ingressos,86766915,86766915,86035348.29,2013
13001,703,93219,Serveis d’ingressos,10,10,12340.07,2013
13004,703,93219,Serveis d’ingressos,8909000,8909000,6629788.53,2013
18000,703,93219,Serveis d’ingressos,10,10,-2628.28,2013
21000,703,93219,Serveis d’ingressos,18527642,18527642,27346939.02,2013
22000,703,93219,Serveis d’ingressos,384959,384959,342077.8,2013
22001,703,93219,Serveis d’ingressos,129079,129079,130455.95,2013
22003,703,93219,Serveis d’ingressos,3769172,3769172,2639075.24,2013
22004,703,93219,Serveis d’ingressos,4332630,4332630,3603153.24,2013
22006,703,93219,Serveis d’ingressos,8471,8471,8080.84,2013
29000,501,93219,Serveis d’ingressos,4075300,4075300,11356051.19,2013
29000,502,93219,Serveis d’ingressos,10,10,25165.27,2013
29000,601,93219,Serveis d’ingressos,1723000,1723000,1573590.72,2013
29000,602,93219,Serveis d’ingressos,3965000,3965000,3813930.96,2013
29000,603,93219,Serveis d’ingressos,3760000,3760000,141076.68,2013
29000,604,93219,Serveis d’ingressos,956000,956000,626266.78,2013
29000,605,93219,Serveis d’ingressos,1446000,1446000,1490976.77,2013
29000,606,93219,Serveis d’ingressos,1137000,1137000,607889.05,2013
29000,607,93219,Serveis d’ingressos,1185000,1185000,452181.51,2013
29000,608,93219,Serveis d’ingressos,727000,727000,292744.11,2013
29000,609,93219,Serveis d’ingressos,1134000,1134000,510056.51,2013
29000,610,93219,Serveis d’ingressos,4339000,4339000,1033901.29,2013
30100,502,16011,Sanejament xarxa de clavegueram,0,0,14454241.74,2013
30100,502,93219,Serveis d’ingressos,15941263,15941263,1008161.39,2013
30901,502,93219,Serveis d’ingressos,450726,450726,14750.57,2013
30902,401,93219,Serveis d’ingressos,35597,35597,181707.65,2013
30903,703,93219,Serveis d’ingressos,11900361.79,11900361.79,11810022.79,2013
30904,401,93219,Serveis d’ingressos,0,0,239379.13,2013
32100,501,93219,Serveis d’ingressos,3002078,3002078,4189422.49,2013
32100,502,93219,Serveis d’ingressos,10,10,125868.6,2013
32100,601,93219,Serveis d’ingressos,294000,294000,22138.05,2013
32100,602,93219,Serveis d’ingressos,504000,504000,44142.81,2013
32100,603,93219,Serveis d’ingressos,210000,210000,23178.01,2013
32100,604,93219,Serveis d’ingressos,120000,120000,53553.67,2013
32100,605,93219,Serveis d’ingressos,223000,223000,36595.3,2013
32100,606,93219,Serveis d’ingressos,223000,223000,6110.61,2013
32100,607,93219,Serveis d’ingressos,173000,173000,19307.13,2013
32100,608,93219,Serveis d’ingressos,116000,116000,9606.69,2013
32100,609,93219,Serveis d’ingressos,147000,147000,79297.42,2013
32100,610,93219,Serveis d’ingressos,236000,236000,102267.24,2013
32101,601,93219,Serveis d’ingressos,138400,138400,217533.18,2013
32101,602,93219,Serveis d’ingressos,337000,337000,541132.39,2013
32101,603,93219,Serveis d’ingressos,175000,175000,189173.12,2013
32101,604,93219,Serveis d’ingressos,126000,126000,105589.86,2013
32101,605,93219,Serveis d’ingressos,141000,141000,157035.06,2013
32101,606,93219,Serveis d’ingressos,143000,143000,158969.72,2013
32101,607,93219,Serveis d’ingressos,78000,78000,75707.02,2013
32101,608,93219,Serveis d’ingressos,96000,96000,59092.8,2013
32101,609,93219,Serveis d’ingressos,121000,121000,86935.1,2013
