Econòmic,Orgànic,Subprograma,Text subprograma,PREV. INICIAL,PREV.DEFINITIVA,LIQUIDAT,Any
10000,703,93219,Serveis d’ingressos,51244290,51244290,47838830.75,2015
11301,703,93219,Serveis d’ingressos,615314010,615314010,525534868.66,2015
11401,703,93219,Serveis d’ingressos,8097000,8097000,7656341.01,2015
11500,703,93219,Serveis d’ingressos,58620000,58620000,61310569.87,2015
11600,703,93219,Serveis d’ingressos,120814000,120814000,153074597.47,2015
13000,703,93219,Serveis d’ingressos,80629000,80629000,30553358.17,2015
13001,703,93219,Serveis d’ingressos,10,10,1065.86,2015
13004,703,93219,Serveis d’ingressos,9049000,9049000,8381176.38,2015
18000,703,93219,Serveis d’ingressos,10,10,0,2015
21000,703,93219,Serveis d’ingressos,30529420,30529420,27950039.81,2015
22000,703,93219,Serveis d’ingressos,385330,385330,362518.81,2015
22001,703,93219,Serveis d’ingressos,132690,132690,127252.22,2015
22003,703,93219,Serveis d’ingressos,3257390,3257390,3035747.7,2015
22004,703,93219,Serveis d’ingressos,4669180,4669180,4742902.28,2015
22006,703,93219,Serveis d’ingressos,8780,8780,11091.06,2015
29000,501,93219,Serveis d’ingressos,6751812.08,6751812.08,4259788.35,2015
29000,502,93219,Serveis d’ingressos,5626.51,5626.51,24282.13,2015
29000,601,93219,Serveis d’ingressos,675181.21,675181.21,1397569.9,2015
29000,602,93219,Serveis d’ingressos,2813255.03,2813255.03,2473033.7,2015
29000,603,93219,Serveis d’ingressos,1350362.41,1350362.41,1798951.9,2015
29000,604,93219,Serveis d’ingressos,450120.81,450120.81,1216768.25,2015
29000,605,93219,Serveis d’ingressos,1350362.41,1350362.41,1923433.32,2015
29000,606,93219,Serveis d’ingressos,675181.21,675181.21,795354.97,2015
29000,607,93219,Serveis d’ingressos,450120.81,450120.81,1259663.7,2015
29000,608,93219,Serveis d’ingressos,331964.1,331964.1,273531.69,2015
29000,609,93219,Serveis d’ingressos,562651.01,562651.01,1192832.28,2015
29000,610,93219,Serveis d’ingressos,1350362.41,1350362.41,2260396.6,2015
29000,703,93219,Serveis d’ingressos,0,0,7573.08,2015
30100,502,16011,Sanejament xarxa de clavegueram,15500000,15500000,13706684.89,2015
30901,502,93219,Serveis d’ingressos,35000,35000,0,2015
30902,401,93219,Serveis d’ingressos,211000,211000,75148.59,2015
30903,703,93219,Serveis d’ingressos,12029885,12029885,0,2015
30904,401,93219,Serveis d’ingressos,570000,570000,418258.83,2015
32100,501,93219,Serveis d’ingressos,3722756.51,3722756.51,5086491.66,2015
32100,502,93219,Serveis d’ingressos,64318.53,64318.53,114082.68,2015
32100,601,93219,Serveis d’ingressos,23154.67,23154.67,6416.93,2015
32100,602,93219,Serveis d’ingressos,57886.68,57886.68,10997.52,2015
32100,603,93219,Serveis d’ingressos,54027.56,54027.56,11976.21,2015
32100,604,93219,Serveis d’ingressos,20581.93,20581.93,7072.79,2015
32100,605,93219,Serveis d’ingressos,12863.7,12863.7,5230.24,2015
32100,606,93219,Serveis d’ingressos,21868.3,21868.3,4928.62,2015
32100,607,93219,Serveis d’ingressos,28300.16,28300.16,12421.92,2015
32100,608,93219,Serveis d’ingressos,20581.93,20581.93,4968.49,2015
32100,609,93219,Serveis d’ingressos,45022.97,45022.97,18988.51,2015
32100,610,93219,Serveis d’ingressos,128637.06,128637.06,61386.59,2015
32101,601,93219,Serveis d’ingressos,161965.32,161965.32,145745.98,2015
32101,602,93219,Serveis d’ingressos,593872.83,593872.83,296261.87,2015
32101,603,93219,Serveis d’ingressos,194358.38,194358.38,155430.69,2015
32101,604,93219,Serveis d’ingressos,107976.88,107976.88,84472.24,2015
32101,605,93219,Serveis d’ingressos,188959.54,188959.54,141302.36,2015
32101,606,93219,Serveis d’ingressos,161965.32,161965.32,94608.56,2015
32101,607,93219,Serveis d’ingressos,86381.5,86381.5,72095.42,2015
32101,608,93219,Serveis d’ingressos,64786.13,64786.13,62497.91,2015
32101,609,93219,Serveis d’ingressos,102578.03,102578.03,86456.42,2015
32101,610,93219,Serveis d’ingressos,205156.07,205156.07,160489.42,2015
32300,601,93219,Serveis d’ingressos,10,10,0,2015
32300,602,93219,Serveis d’ingressos,10,10,0,2015
32300,603,93219,Serveis d’ingressos,10,10,0,2015
32300,604,93219,Serveis d’ingressos,10,10,0,2015
32300,605,93219,Serveis d’ingressos,10,10,0,2015
32300,606,93219,Serveis d’ingressos,10,10,0,2015
32300,607,93219,Serveis d’ingressos,10,10,0,2015
32300,608,93219,Serveis d’ingressos,10,10,0,2015
32300,609,93219,Serveis d’ingressos,10,10,0,2015
32300,610,93219,Serveis d’ingressos,10,10,0,2015
32301,501,93219,Serveis d’ingressos,2970,2970,41.42,2015
32301,601,93219,Serveis d’ingressos,26450,26450,14871.94,2015
32301,602,93219,Serveis d’ingressos,3450,3450,21275.56,2015
32301,603,93219,Serveis d’ingressos,18400,18400,9118.66,2015
32301,604,93219,Serveis d’ingressos,1150,1150,3481.76,2015
32301,605,93219,Serveis d’ingressos,10,10,12483.84,2015
32301,606,93219,Serveis d’ingressos,3450,3450,12952.49,2015
32301,607,93219,Serveis d’ingressos,1150,1150,4282.96,2015
32301,608,93219,Serveis d’ingressos,3967.5,3967.5,2901.17,2015
32301,609,93219,Serveis d’ingressos,2361.25,2361.25,4408.8,2015
32301,610,93219,Serveis d’ingressos,10,10,9036.67,2015
32302,610,93219,Serveis d’ingressos,0,0,1228.23,2015
32500,101,93219,Serveis d’ingressos,55000,55000,44840.2,2015
32500,201,93219,Serveis d’ingressos,10,10,180,2015
32500,401,93219,Serveis d’ingressos,415990,415990,415.21,2015
32500,501,93219,Serveis d’ingressos,1000,1000,0,2015
32500,502,93219,Serveis d’ingressos,0,0,5623.45,2015
32500,601,93219,Serveis d’ingressos,4600,4600,3281.39,2015
32500,602,93219,Serveis d’ingressos,10416.7,10416.7,6878.8,2015
32500,603,93219,Serveis d’ingressos,2300,2300,1279.79,2015
32500,604,93219,Serveis d’ingressos,2300,2300,287.56,2015
32500,605,93219,Serveis d’ingressos,575,575,2384.99,2015
32500,606,93219,Serveis d’ingressos,8050,8050,4210.67,2015
32500,607,93219,Serveis d’ingressos,6670,6670,5222.08,2015
32500,608,93219,Serveis d’ingressos,10,10,1207.08,2015
32500,609,93219,Serveis d’ingressos,1351.68,1351.68,8522.12,2015
32500,610,93219,Serveis d’ingressos,5175,5175,3393.77,2015
32600,703,93219,Serveis d’ingressos,16001258,16001258,0,2015
32601,703,93219,Serveis d’ingressos,377000,377000,958235.78,2015
32602,401,93219,Serveis d’ingressos,1000,1000,50.1,2015
32901,502,93219,Serveis d’ingressos,4000,4000,0,2015
32902,401,93219,Serveis d’ingressos,0,0,165177.66,2015
32903,101,93219,Serveis d’ingressos,25000,25000,65670.65,2015
32903,502,93219,Serveis d’ingressos,0,0,531.99,2015
32904,401,93219,Serveis d’ingressos,10,10,1945.2,2015
32904,601,93219,Serveis d’ingressos,10,10,778.08,2015
32904,602,93219,Serveis d’ingressos,10,10,583.56,2015
32904,603,93219,Serveis d’ingressos,10,10,194.52,2015
32904,604,93219,Serveis d’ingressos,10,10,194.52,2015
32904,605,93219,Serveis d’ingressos,10,10,0,2015
32904,606,93219,Serveis d’ingressos,10,10,389.04,2015
32904,607,93219,Serveis d’ingressos,10,10,194.52,2015
32904,608,93219,Serveis d’ingressos,10,10,0,2015
32904,609,93219,Serveis d’ingressos,10,10,0,2015
32904,610,93219,Serveis d’ingressos,10,10,583.56,2015
32905,101,93219,Serveis d’ingressos,239000,239000,116936.57,2015
32910,101,93219,Serveis d’ingressos,10,10,0,2015
32912,401,93219,Serveis d’ingressos,1500,1500,0,2015
32913,401,93219,Serveis d’ingressos,1500,1500,0,2015
32914,101,93219,Serveis d’ingressos,10,10,0,2015
32914,201,93219,Serveis d’ingressos,10,10,0,2015
32915,101,93219,Serveis d’ingressos,10,10,0,2015
32915,201,93219,Serveis d’ingressos,10,10,0,2015
32916,401,93219,Serveis d’ingressos,10,10,525228.68,2015
32917,401,93219,Serveis d’ingressos,10,10,5149.17,2015
32918,401,93219,Serveis d’ingressos,10,10,3979.22,2015
32919,401,93219,Serveis d’ingressos,0,0,4959.5,2015
33000,703,93219,Serveis d’ingressos,35354767,35354767,0,2015
33001,401,93219,Serveis d’ingressos,19977.81,19977.81,43077.3,2015
33001,601,93219,Serveis d’ingressos,99889.05,99889.05,67027.58,2015
33001,602,93219,Serveis d’ingressos,269700.44,269700.44,153608.42,2015
33001,603,93219,Serveis d’ingressos,26970.04,26970.04,21294.63,2015
33001,604,93219,Serveis d’ingressos,54938.97,54938.97,54911.5,2015
33001,605,93219,Serveis d’ingressos,59933.43,59933.43,48452.74,2015
33001,606,93219,Serveis d’ingressos,14983.36,14983.36,19150.44,2015
33001,607,93219,Serveis d’ingressos,19977.81,19977.81,11972.91,2015
33001,608,93219,Serveis d’ingressos,9988.9,9988.9,4336.38,2015
33001,609,93219,Serveis d’ingressos,19717.85,19717.85,4544.58,2015
33001,610,93219,Serveis d’ingressos,69922.33,69922.33,36942.59,2015
33100,401,93219,Serveis d’ingressos,0,0,5850,2015
33100,601,93219,Serveis d’ingressos,358055.56,358055.56,342450.27,2015
33100,602,93219,Serveis d’ingressos,2685416.67,2685416.67,2452826.95,2015
33100,603,93219,Serveis d’ingressos,1477234.92,1477234.92,1398455.18,2015
33100,604,93219,Serveis d’ingressos,1653193.65,1653193.65,1628268.91,2015
33100,605,93219,Serveis d’ingressos,3478253.97,3478253.97,3309671.03,2015
33100,606,93219,Serveis d’ingressos,1321736.51,1321736.51,1253920.65,2015
33100,607,93219,Serveis d’ingressos,1452682.54,1452682.54,1445260.31,2015
33100,608,93219,Serveis d’ingressos,775446.03,775446.03,728151.07,2015
33100,609,93219,Serveis d’ingressos,1457797.62,1457797.62,1407245.17,2015
33100,610,93219,Serveis d’ingressos,2097182.54,2097182.54,1983948.63,2015
33200,502,93219,Serveis d’ingressos,21712000,21712000,20315163.48,2015
33300,502,93219,Serveis d’ingressos,1503000,1503000,1034914.52,2015
33500,601,93219,Serveis d’ingressos,857668.71,857668.71,670386.97,2015
33500,602,93219,Serveis d’ingressos,2036963.19,2036963.19,1333852.04,2015
33500,603,93219,Serveis d’ingressos,321625.77,321625.77,235859.84,2015
33500,604,93219,Serveis d’ingressos,192975.46,192975.46,145083.66,2015
33500,605,93219,Serveis d’ingressos,268021.47,268021.47,267416.11,2015
33500,606,93219,Serveis d’ingressos,176894.17,176894.17,118476.6,2015
33500,607,93219,Serveis d’ingressos,85766.87,85766.87,77131.03,2015
33500,608,93219,Serveis d’ingressos,112569.02,112569.02,135876.26,2015
33500,609,93219,Serveis d’ingressos,197263.8,197263.8,174666.79,2015
33500,610,93219,Serveis d’ingressos,643251.53,643251.53,560908.02,2015
33501,101,93219,Serveis d’ingressos,790000,790000,739117.58,2015
33502,401,93219,Serveis d’ingressos,241740,241740,301230.79,2015
33502,601,93219,Serveis d’ingressos,618570,618570,1032062.52,2015
33502,602,93219,Serveis d’ingressos,938520,938520,533019.14,2015
33502,603,93219,Serveis d’ingressos,106650,106650,221464.61,2015
33502,604,93219,Serveis d’ingressos,241740,241740,293291.81,2015
33502,605,93219,Serveis d’ingressos,71100,71100,53854.69,2015
33502,606,93219,Serveis d’ingressos,71100,71100,78111.15,2015
33502,607,93219,Serveis d’ingressos,28440,28440,33238.62,2015
33502,608,93219,Serveis d’ingressos,206190,206190,154158.36,2015
33502,609,93219,Serveis d’ingressos,106650,106650,63438.54,2015
33502,610,93219,Serveis d’ingressos,213300,213300,237568.18,2015
33800,502,93219,Serveis d’ingressos,7344000,7344000,6875511.46,2015
33900,502,93219,Serveis d’ingressos,10,10,886.42,2015
33901,502,93219,Serveis d’ingressos,22000,22000,44267.38,2015
33902,502,93219,Serveis d’ingressos,226500,226500,105.6,2015
33903,703,93219,Serveis d’ingressos,73000,73000,360196.84,2015
34100,201,93219,Serveis d’ingressos,1989000,1989000,2412709.52,2015
34101,201,93219,Serveis d’ingressos,10,10,882.25,2015
34102,201,93219,Serveis d’ingressos,10,10,0,2015
34104,201,93219,Serveis d’ingressos,6000,6000,8473.87,2015
34300,601,93219,Serveis d’ingressos,10,10,0,2015
34300,602,93219,Serveis d’ingressos,10,10,0,2015
34300,603,93219,Serveis d’ingressos,10,10,0,2015
34300,604,93219,Serveis d’ingressos,10,10,0,2015
34300,605,93219,Serveis d’ingressos,10,10,0,2015
34300,606,93219,Serveis d’ingressos,10,10,0,2015
34300,607,93219,Serveis d’ingressos,10,10,0,2015
34300,608,93219,Serveis d’ingressos,10,10,0,2015
34300,609,93219,Serveis d’ingressos,10,10,0,2015
34300,610,93219,Serveis d’ingressos,10,10,0,2015
34400,201,93219,Serveis d’ingressos,7560,7560,4045.82,2015
34400,601,93219,Serveis d’ingressos,10,10,0,2015
34400,602,93219,Serveis d’ingressos,10,10,0,2015
34400,603,93219,Serveis d’ingressos,3450,3450,324.97,2015
34400,604,93219,Serveis d’ingressos,10,10,1880.22,2015
34400,605,93219,Serveis d’ingressos,115,115,0,2015
34400,606,93219,Serveis d’ingressos,13225,13225,9026.49,2015
34400,607,93219,Serveis d’ingressos,230,230,570.73,2015
34400,608,93219,Serveis d’ingressos,2645,2645,706.51,2015
34400,609,93219,Serveis d’ingressos,15324,15324,12266.78,2015
34400,610,93219,Serveis d’ingressos,10,10,4930.43,2015
34900,601,93219,Serveis d’ingressos,10,10,0,2015
34900,602,93219,Serveis d’ingressos,10,10,0,2015
34900,603,93219,Serveis d’ingressos,31050,31050,7358.98,2015
